Name,Page,Relationship,Base Name,Chapter,Type
Test Method Discovery,394,Variation,Test Discovery,Chapter 19,xUnit Basics Patterns
Test Method Enumeration,401,Variation,Test Enumeration,Chapter 19,xUnit Basics Patterns
Test Method Selection,404,Variation,Test Selection,Chapter 19,xUnit Basics Patterns
Test Suite Enumeration,400,Variation,Test Enumeration,Chapter 19,xUnit Basics Patterns
Test Suite Object Generator,293,Variation,Data-Driven Test,Chapter 18,Test Strategy Patterns
Test Suite Object Simulator,293,Variation,Data-Driven Test,Chapter 18,Test Strategy Patterns
Test Suite Procedure,388,Variation,Test Suite Object,Chapter 19,xUnit Basics Patterns
Test Tree Explorer,380,Variation,Test Runner,Chapter 19,xUnit Basics Patterns
Test Utility Test,603,Variation,Test Utility Method,Chapter 24,Test Organization Patterns
Testcase Class Discovery,394,Variation,Test Discovery,Chapter 19,xUnit Basics Patterns
Testcase Class per Method,625,Variation,Testcase Class per Feature,Chapter 24,Test Organization Patterns
Testcase Class per User Story,625,Variation,Testcase Class per Feature,Chapter 24,Test Organization Patterns
Testcase Class Selection,404,Variation,Test Selection,Chapter 19,xUnit Basics Patterns
Testcase Class Suite,388,Variation,Test Suite Object,Chapter 19,xUnit Basics Patterns
The xUnit Family,300,Variation,Test Automation Framework,Chapter 18,Test Strategy Patterns
Transient Fresh Fixture,314,Variation,Fresh Fixture,Chapter 18,Test Strategy Patterns
True Humble Object,699,Variation,Humble Object,Chapter 26,Design-for-Testability Patterns
Veriﬁcation Method,477,Variation,Custom Assertion,Chapter 21,Result Veriﬁcation Patterns
